aliquot_barcode,participant_id,library_size,selected
TCGA-64-1681-01A-11R-2066-07,TCGA-64-1681,60327122,TRUE
TCGA-64-5774-01A-01R-1628-07,TCGA-64-5774,43217538,TRUE
TCGA-64-5778-01A-01R-1628-07,TCGA-64-5778,41930525,TRUE
TCGA-64-5779-01A-01R-1628-07,TCGA-64-5779,32195953,TRUE
TCGA-64-5781-01A-01R-1628-07,TCGA-64-5781,35218872,TRUE
TCGA-67-3770-01A-01R-0946-07,TCGA-67-3770,26245140,TRUE
TCGA-67-3771-01A-01R-0946-07,TCGA-67-3771,32381649,TRUE
TCGA-67-3774-01A-01R-0946-07,TCGA-67-3774,37965407,TRUE
TCGA-67-6215-01A-11R-1755-07,TCGA-67-6215,77072339,TRUE
TCGA-67-6216-01A-11R-1755-07,TCGA-67-6216,38802258,TRUE
TCGA-67-6217-01A-11R-1755-07,TCGA-67-6217,38494301,TRUE
TCGA-69-7760-01A-11R-2170-07,TCGA-69-7760,40762980,TRUE
TCGA-69-7761-01A-11R-2170-07,TCGA-69-7761,43059029,TRUE
TCGA-69-7763-01A-11R-2170-07,TCGA-69-7763,39743981,TRUE
TCGA-69-7764-01A-11R-2170-07,TCGA-69-7764,33447747,TRUE
TCGA-69-7765-01A-11R-2170-07,TCGA-69-7765,38262444,TRUE
TCGA-69-7973-01A-11R-2187-07,TCGA-69-7973,75839309,TRUE
TCGA-69-7978-01A-11R-2187-07,TCGA-69-7978,63809086,TRUE
TCGA-69-7979-01A-11R-2187-07,TCGA-69-7979,68302018,TRUE
TCGA-69-8255-01A-11R-2287-07,TCGA-69-8255,94625118,TRUE
TCGA-69-A59K-01A-11R-A262-07,TCGA-69-A59K,51691596,TRUE
TCGA-71-6725-01A-11R-1858-07,TCGA-71-6725,71287647,TRUE
TCGA-71-8520-01A-11R-2403-07,TCGA-71-8520,32479553,TRUE
TCGA-73-4658-01A-01R-1755-07,TCGA-73-4658,37936612,TRUE
TCGA-73-4659-01A-01R-1206-07,TCGA-73-4659,103639275,TRUE
TCGA-73-4662-01A-01R-1206-07,TCGA-73-4662,91931113,TRUE
TCGA-73-4666-01A-01R-1206-07,TCGA-73-4666,77821130,TRUE
TCGA-73-4668-01A-01R-1206-07,TCGA-73-4668,91375192,TRUE
TCGA-73-4675-01A-01R-1206-07,TCGA-73-4675,78086024,TRUE
TCGA-73-4676-01A-01R-1755-07,TCGA-73-4676,40327213,TRUE
TCGA-73-7498-01A-12R-2187-07,TCGA-73-7498,77498327,TRUE
TCGA-73-7499-01A-11R-2187-07,TCGA-73-7499,59381799,TRUE
TCGA-73-A9RS-01A-11R-A41B-07,TCGA-73-A9RS,22385182,TRUE
TCGA-75-5122-01A-01R-1755-07,TCGA-75-5122,37517214,TRUE
TCGA-75-5125-01A-01R-1755-07,TCGA-75-5125,38216584,TRUE
TCGA-75-5126-01A-01R-1755-07,TCGA-75-5126,29078060,TRUE
TCGA-75-5146-01A-01R-1628-07,TCGA-75-5146,31199974,TRUE
TCGA-75-5147-01A-01R-1628-07,TCGA-75-5147,69504415,TRUE
TCGA-75-6203-01A-11R-1755-07,TCGA-75-6203,34595062,TRUE
TCGA-75-6205-01A-11R-1755-07,TCGA-75-6205,23897778,TRUE
TCGA-75-6207-01A-11R-1755-07,TCGA-75-6207,39903199,TRUE
TCGA-75-6211-01A-11R-1755-07,TCGA-75-6211,31030856,TRUE
TCGA-75-6212-01A-11R-1755-07,TCGA-75-6212,30908501,TRUE
TCGA-75-6214-01A-41R-1949-07,TCGA-75-6214,71589012,TRUE
TCGA-75-7025-01A-12R-1949-07,TCGA-75-7025,61259781,TRUE
TCGA-75-7030-01A-11R-1949-07,TCGA-75-7030,24875971,TRUE
TCGA-75-7031-01A-11R-1949-07,TCGA-75-7031,24664083,TRUE
TCGA-78-7145-01A-11R-2039-07,TCGA-78-7145,39503840,TRUE
TCGA-78-7146-01A-11R-2039-07,TCGA-78-7146,47572140,TRUE
TCGA-78-7147-01A-11R-2039-07,TCGA-78-7147,53557048,TRUE
TCGA-78-7148-01A-11R-2039-07,TCGA-78-7148,44447893,TRUE
TCGA-78-7149-01A-11R-2039-07,TCGA-78-7149,45379241,TRUE
TCGA-78-7150-01A-21R-2039-07,TCGA-78-7150,44307265,TRUE
TCGA-78-7152-01A-11R-2039-07,TCGA-78-7152,23192896,TRUE
TCGA-78-7153-01A-11R-2039-07,TCGA-78-7153,42825228,TRUE
TCGA-78-7154-01A-11R-2039-07,TCGA-78-7154,41339647,TRUE
TCGA-78-7155-01A-11R-2039-07,TCGA-78-7155,34533346,TRUE
TCGA-78-7156-01A-11R-2039-07,TCGA-78-7156,36754736,TRUE
TCGA-78-7158-01A-11R-2039-07,TCGA-78-7158,52277626,TRUE
TCGA-78-7159-01A-11R-2039-07,TCGA-78-7159,43537351,TRUE
TCGA-78-7162-01A-21R-2066-07,TCGA-78-7162,60861964,TRUE
TCGA-78-7163-01A-12R-2066-07,TCGA-78-7163,59479879,TRUE
TCGA-78-7166-01A-12R-2066-07,TCGA-78-7166,66140964,TRUE
TCGA-78-7167-01A-11R-2066-07,TCGA-78-7167,76702684,TRUE
TCGA-78-7220-01A-11R-2039-07,TCGA-78-7220,43185631,TRUE
TCGA-78-7535-01A-11R-2066-07,TCGA-78-7535,70717473,TRUE
TCGA-78-7536-01A-11R-2066-07,TCGA-78-7536,76126859,TRUE
TCGA-78-7537-01A-11R-2066-07,TCGA-78-7537,69858327,TRUE
TCGA-78-7539-01A-11R-2066-07,TCGA-78-7539,68605988,TRUE
TCGA-78-7542-01A-21R-2066-07,TCGA-78-7542,74692302,TRUE
TCGA-78-7633-01A-11R-2066-07,TCGA-78-7633,80355766,TRUE
TCGA-78-8640-01A-11R-2403-07,TCGA-78-8640,36379387,TRUE
TCGA-78-8648-01A-11R-2403-07,TCGA-78-8648,33825283,TRUE
TCGA-78-8660-01A-11R-2403-07,TCGA-78-8660,37138562,TRUE
TCGA-78-8662-01A-11R-2403-07,TCGA-78-8662,31026854,TRUE
TCGA-80-5607-01A-31R-1949-07,TCGA-80-5607,26523703,TRUE
TCGA-80-5611-01A-01R-1628-07,TCGA-80-5611,34794452,TRUE
TCGA-86-6562-01A-11R-1755-07,TCGA-86-6562,36779372,TRUE
TCGA-86-6851-01A-11R-1949-07,TCGA-86-6851,78564862,TRUE
TCGA-86-7701-01A-11R-2170-07,TCGA-86-7701,21517374,TRUE
TCGA-86-7711-01A-11R-2066-07,TCGA-86-7711,73683419,TRUE
TCGA-86-7713-01A-11R-2066-07,TCGA-86-7713,78300251,TRUE
TCGA-86-7714-01A-12R-2170-07,TCGA-86-7714,22613184,TRUE
TCGA-86-7954-01A-11R-2187-07,TCGA-86-7954,74361785,TRUE
TCGA-86-7955-01A-11R-2187-07,TCGA-86-7955,67673307,TRUE
TCGA-86-8055-01A-11R-2241-07,TCGA-86-8055,67078723,TRUE
TCGA-86-8073-01A-11R-2241-07,TCGA-86-8073,75919997,TRUE
TCGA-86-8074-01A-11R-2241-07,TCGA-86-8074,80196986,TRUE
TCGA-86-8075-01A-11R-2241-07,TCGA-86-8075,72559699,TRUE
TCGA-86-8278-01A-11R-2287-07,TCGA-86-8278,84585719,TRUE
TCGA-86-8279-01A-11R-2287-07,TCGA-86-8279,70000639,TRUE
TCGA-86-8280-01A-11R-2287-07,TCGA-86-8280,58854103,TRUE
