ensembl_gene_id,gene_name,gene_type,base_mean,raw_log2_fold_change,shrunken_log2_fold_change,statistic,p_value,adjusted_p_value,selected,direction
ENSG00000165246.14,NLGN4Y,protein_coding,111.14774227537578,1.7244109636164737,1.6021640152596457,5.918686578491482,3.2452271676693925e-9,1.1263519702514347e-6,TRUE,Higher in G12C
ENSG00000005421.9,PON1,protein_coding,101.47188995444682,1.6026314329586748,1.51171172007017,5.915803139394394,3.3026003289147227e-9,1.1333856387195772e-6,TRUE,Higher in G12C
ENSG00000139445.18,FOXN4,protein_coding,36.550159254549534,-2.703372487826894,-2.544741509507293,-5.900412115861172,3.6259472140674167e-9,1.2170033599918802e-6,TRUE,Lower in G12C
ENSG00000163331.12,DAPL1,protein_coding,51.372125684554526,-2.0983301438825435,-1.9589409923432575,-5.902213377010551,3.5865687114075895e-9,1.2170033599918802e-6,TRUE,Lower in G12C
ENSG00000225606.1,AC005281.1,lncRNA,6.444790147748193,1.6639716385588914,1.5573291319333857,5.890276422673655,3.855501631590976e-9,1.2799846340617739e-6,TRUE,Higher in G12C
ENSG00000133169.6,BEX1,protein_coding,110.06147293475641,-2.6518138075132325,-2.469627148233288,-5.85947923950158,4.6432092647414855e-9,1.5249197911075182e-6,TRUE,Lower in G12C
ENSG00000140505.7,CYP1A2,protein_coding,11.272525486422353,-2.6881422066190708,-2.4206956838756892,-5.855805310350203,4.747040662831819e-9,1.5424347123922578e-06,TRUE,Lower in G12C
ENSG00000146411.6,SLC2A12,protein_coding,262.1169610229477,-1.361441702629582,-1.2805091119800256,-5.789735804575455,7.049722225696961e-9,2.2665227993627605e-6,TRUE,Lower in G12C
ENSG00000253709.1,IGHV1-14,IG_V_pseudogene,25.71119711330897,1.8948977775932836,1.7032965989961963,5.78163531340725,7.3977941973733625e-9,2.3293899811378826e-6,TRUE,Higher in G12C
ENSG00000105894.12,PTN,protein_coding,713.1054137188123,1.662478111876736,1.541224226869823,5.7731120632959865,7.782064745345633e-9,2.4253837093580783e-6,TRUE,Higher in G12C
ENSG00000169903.7,TM4SF4,protein_coding,1931.6692259117065,2.64451659133886,2.3025750100421387,5.758040174012038,8.509610591566142e-9,2.599090362982047e-6,TRUE,Higher in G12C
ENSG00000198692.10,EIF1AY,protein_coding,437.33995151687475,1.7401281874347914,1.5596972630892783,5.729803528244654,1.0054702325284422e-8,2.981560904088953e-6,TRUE,Higher in G12C
ENSG00000214691.9,LINC01913,lncRNA,14.477691452175208,1.8919096492144387,1.76534385584055,5.698893966323243,1.2058719378908263e-8,3.5233718867303252e-6,TRUE,Higher in G12C
ENSG00000122966.17,CIT,protein_coding,7173.5835829378075,1.2956199700704454,1.2144179270989368,5.652651976154889,1.579909975979048e-8,4.5098308781615e-6,TRUE,Higher in G12C
ENSG00000229847.9,EMX2OS,lncRNA,24.611190357327246,2.6450225703859593,2.2825536266214193,5.653288986765994,1.5740632413814357e-8,4.5098308781615e-6,TRUE,Higher in G12C
ENSG00000257135.7,ODC1-DT,lncRNA,145.5355116409596,1.0760477104615982,1.0102881653804372,5.63506266724973,1.7499469003806213e-8,4.94894705354864e-6,TRUE,Higher in G12C
ENSG00000078399.19,HOXA9,protein_coding,39.67496994661805,-1.874293266671961,-1.7400559339596113,-5.627190963804063,1.8316791419115516e-8,5.0259499059836345e-6,TRUE,Lower in G12C
ENSG00000146453.13,PNLDC1,protein_coding,27.008037618398507,-1.838098351406871,-1.7088859096179934,-5.627879247816342,1.824387267780456e-8,5.0259499059836345e-6,TRUE,Lower in G12C
ENSG00000177354.12,C10orf71,protein_coding,20.57882030959301,2.8109151641818686,2.619345002033643,5.629154255568785,1.8109538788860842e-8,5.0259499059836345e-6,TRUE,Higher in G12C
ENSG00000155269.12,GPR78,protein_coding,45.90591797098214,-2.080950649040251,-1.9291312687908901,-5.6124358703989605,1.9949815446260447e-8,5.3449755541678325e-6,TRUE,Lower in G12C
ENSG00000197291.9,RAMP2-AS1,lncRNA,58.94782214663008,-1.3624224666359963,-1.2736100110869355,-5.607135520059918,2.057025941341192e-8,5.46328202838122e-6,TRUE,Lower in G12C
